movie,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
31,2.5,,,,,,3.0,,,,,,,,,,,,,,
1029,3.0,,,,,,,,,,,,,,,,,,5.0,,
1061,3.0,,,,,,,,,,,,,,,,,,3.0,,
1129,2.0,,,,,,3.0,,,,,,,,,,,,3.0,,
1172,4.0,,,,,,,,,,,,,,,,,,,,
1263,2.0,,,,,,,,,,,,,,4.0,,4.5,,4.0,,
1287,2.0,,,,,,4.0,,,,,,,,2.0,,,,4.0,,
1293,2.0,,,,,,,,,,,,,,4.0,,,,,3.5,
1339,3.5,,,,,,,,,,,,,,2.0,,,,3.0,,
1343,2.0,,,,,,,,,,,,,,,,,,4.0,,
1371,2.5,,,4.0,,,3.0,,,,,,,,,,,,4.0,,
1405,1.0,,,,,,5.0,,,,,,,,3.0,,,,3.0,,
1953,4.0,,,5.0,,,,,,,,,,,3.0,,,,,,
2105,4.0,,,4.0,,,,,,,,,,,4.0,,,,,,
2150,3.0,,,,,,,,,,,,,,3.0,,,,,,
2193,2.0,,,3.0,,,,,,,,,,,,,,,,,
2294,2.0,,,,4.0,,,,2.0,,,,,,2.0,,,,,,
2455,2.5,,,,,,,,,,,,,,3.5,,4.0,,,,
2968,1.0,,,5.0,,,,,,,,,,,,,,,,,
3671,3.0,,,,,,,,,,,,,,2.0,,,,,,
10,,4.0,,4.0,,,3.0,,,,,,,,3.0,,,,3.0,,
17,,5.0,,,,,,,4.0,,,,,,3.0,,,4.0,,,
39,,5.0,,,4.0,,,,,,,,,,2.5,,,,3.0,,
47,,4.0,,,,,,5.0,3.0,,,,2.5,,5.0,,5.0,,5.0,,
50,,4.0,,,,,,5.0,,5.0,5.0,,,,5.0,4.5,5.0,,4.0,,
52,,3.0,,,,,,,,,,,,,2.5,,,3.0,3.0,,
62,,3.0,,,,,,,,,,,,,2.0,,,4.0,,,
110,,4.0,4.0,,,,5.0,4.0,,,,,4.0,,3.0,,,,3.0,2.0,
144,,3.0,,,,,,,,,,,,,,,,,,,
150,,5.0,,,4.0,,,,,,,,,,3.0,,,,3.0,3.0,
153,,4.0,,4.0,,,,,,,,,,,1.0,,,,3.0,4.0,
161,,3.0,,,,,,,,,,,,,3.0,,,,,,
165,,3.0,,,,,,,,,,,,,3.0,,,,3.0,,
168,,3.0,,,,,,,,,,,,,,,,,,,
185,,3.0,,3.0,,,,,,,,,,,2.0,,3.0,,,,
186,,3.0,,,,,,,,,,,,,,,,,,,
208,,3.0,,,,,,,,,,,,,1.5,,,,3.0,,
222,,5.0,,,,,,,,,,,,,,,,,,,
223,,1.0,,,,,,,,,,,,,4.0,,2.5,,4.0,,
225,,3.0,,,,,,,,,,,,,1.0,,,,,,
235,,3.0,,,,,,,,,,,,,4.0,,5.0,,3.0,,
248,,3.0,,,,,,,,,,,,,,,,,,,
253,,4.0,,,,,,,,,,3.0,,,2.0,,,,3.0,,
261,,4.0,,,,,,,,,,,,,,,,,4.0,,
265,,5.0,,,,,,,,,,,,,1.0,,,,,,
266,,5.0,,,,,,,,,,,,,,,,,1.0,,
272,,3.0,,,,,3.0,,,,,,,,,,,,,,
273,,4.0,,,,,,,,,,,,,,,,,,,
292,,3.0,,,,,,,,,,,,,1.0,,,,4.0,,
296,,4.0,4.5,5.0,,,,4.0,,,5.0,,3.5,,5.0,,5.0,,5.0,0.5,
300,,3.0,,,,,,,,,,,,,4.0,,,,3.0,,
314,,4.0,,,,,,,,,,,,,,,,,,,
317,,2.0,,,,,,,,,,,,,1.0,,,,,,
319,,1.0,,,,,,,,,,,,,,,,,,,
339,,3.0,,,,,,,,,,,,,2.5,,,,4.0,,
349,,4.0,,5.0,,,,,,,,,,,3.0,,,,3.0,,
350,,4.0,,,,,,,,,,,,,,,,,3.0,,
356,,3.0,5.0,5.0,4.0,,3.0,4.0,,,,,5.0,,1.0,,2.5,,5.0,2.0,
357,,3.0,,5.0,,,3.0,,,,,,,,3.5,,,,5.0,,
364,,3.0,,5.0,4.0,,3.0,,,,,,,,4.0,,,,3.0,3.5,
367,,3.0,,4.0,4.0,,3.0,,,,,,,,2.0,,,,3.0,1.0,
370,,2.0,,,,,,,,,,,,,3.5,,,,,,
371,,3.0,,,,,,,,,,,,,2.0,,,,3.0,,
372,,3.0,,,,,,,,,,,,,3.0,,,,1.0,,
377,,3.0,2.5,,4.0,,3.0,,,,,,,,4.0,,0.5,,3.0,,
382,,3.0,,,,,,,,,,,,,3.5,,,,3.0,,
405,,2.0,,,,,,,,,,,,,,,,,,,
410,,3.0,,3.0,,,,,,,,,,,,,,,,,
454,,4.0,,,,,,,,,,,,,3.0,,,,3.0,,
457,,3.0,,,,,,4.5,,,,,,,5.0,,,,4.0,4.5,
468,,4.0,,,,,,,,,,,,,,,,,4.0,,
474,,2.0,,,,,,,,,,,,,3.0,,,,3.0,,
480,,4.0,,5.0,,,4.0,,,,,,3.0,,3.0,,0.5,,4.0,3.0,
485,,3.0,,,,,,,,,,,,,0.5,,,,1.0,,
497,,3.0,,,,,,,4.0,,,,,,,,,,,5.0,
500,,4.0,,,4.5,,3.0,,,,,,,,3.0,,,,3.0,3.0,
508,,4.0,,,,,,,,,,,,,1.5,,,,3.0,,
509,,4.0,,,,,,,,,,,,,2.0,,,,4.0,,
515,,4.0,,,,,,,4.0,,,,,,,,,,5.0,,
527,,4.0,3.0,,,,,5.0,5.0,,,,4.0,,4.0,4.0,4.0,,4.0,2.5,
537,,4.0,,,,,,,,,,,,,,,,,3.0,,
539,,3.0,,,,,3.0,,,,,,,,2.0,,,,,,
550,,3.0,,,,,,,,,,,,,,,,,3.0,,
551,,5.0,,,,,4.0,,,,,,,,2.0,,,,4.0,,
552,,3.0,,,,,,,,,,,,,,,,,,,
585,,5.0,,,,,,,,,,,,,,,,,,,
586,,3.0,,,4.0,,,,,,,,,,2.0,,,,3.0,,
587,,3.0,,,,,,,,,,,3.0,,1.0,,,,,,
588,,3.0,3.0,5.0,3.5,,4.0,,,,,,,,0.5,,,,3.0,3.5,
589,,5.0,,5.0,,,3.0,4.0,,,,,,,4.0,,,,3.0,,
590,,5.0,,3.0,,,4.0,,,,,,4.0,,3.0,,3.0,,3.0,2.0,
592,,5.0,3.0,,,,3.0,,,3.0,,,,,4.0,,,,4.0,4.0,
593,,3.0,3.0,,,,,4.5,4.0,,,,,,5.0,,4.5,,3.0,0.5,
616,,3.0,,5.0,,,,,,,,,,,,,,,,,
661,,4.0,,,,,,,,,,,,,,,,,4.0,,
720,,4.0,,,,,5.0,,,,,,,,3.0,,,,,5.0,
60,,,3.0,,,,,,,,,,,,,,,,,,
247,,,3.5,,,,,,,,,,,,2.0,,2.0,,4.0,,
267,,,3.0,,,,,,,,,,,,,,,,,,
318,,,5.0,,,,5.0,5.0,4.0,4.0,,,4.5,,2.0,4.0,5.0,,4.0,4.5,
355,,,2.5,,,,3.0,,,,,,,,0.5,,,,,,
595,,,2.0,,4.0,,3.0,,,,,,,,,,,,5.0,4.0,
736,,,3.5,,,,1.0,,,,,4.0,,,1.0,,2.5,2.0,3.0,3.5,
778,,,4.0,,,,,,,,4.5,,,,4.0,,4.5,,,,
866,,,3.0,,,,,,,,,,,,4.0,,4.5,,,,
1197,,,5.0,5.0,,,3.0,4.0,,4.0,,1.0,,,1.0,,,,3.0,,
1210,,,3.0,5.0,,,5.0,4.0,,4.0,,,,,5.0,,3.5,,4.0,3.0,
1235,,,4.0,,,,,,,,,5.0,,,3.5,,5.0,,,,
1271,,,3.0,,,,,,,,,,,,,,,,3.0,,
1378,,,4.0,,,,,,,,,,,,,,,,2.0,3.0,
1580,,,3.5,5.0,,,,,,,,,,,4.0,,2.5,,,5.0,
1721,,,4.5,,4.0,,,,3.0,,,,,3.0,1.5,,0.5,,,,
1884,,,4.0,,,,,,,,,,,,,,5.0,,,,
2028,,,4.0,,,,,4.0,4.0,,,,,,3.0,,3.5,,,,
2318,,,4.0,,,,,,,,,,,,4.5,,,,,,
2513,,,3.0,,,,,,,,,,,,,,,,,,
2694,,,3.0,,4.5,,,,,,,,,,,,,,,,
2702,,,3.5,,,,,,,,,,,,1.5,,,,,,
2716,,,3.0,5.0,,,,3.5,,,,,,3.0,4.0,,,,,,
2762,,,3.5,,3.5,,,4.5,4.0,,3.0,,3.0,,1.0,,4.5,,,3.5,
2841,,,4.0,,,,,3.0,,4.0,,,,,2.0,,,,,,
2858,,,4.0,,,,,4.5,,,,,,,4.0,4.0,4.5,,,,
2959,,,5.0,,,,,4.0,,,,4.0,,,5.0,,5.0,,,0.5,
3243,,,3.0,,,,,,,,,,,,,,,,,,
3510,,,4.0,,,,,,,,,,,,2.0,,,,,,
3949,,,5.0,,,,,,,,,,,,5.0,,4.0,,,,
5349,,,3.0,,4.5,,,,,,,,,,1.0,3.0,1.5,,,,
5669,,,3.5,,3.5,,,3.0,,,3.0,,,,4.0,,4.5,,,,
6377,,,3.0,,4.0,,,4.0,,,,,4.5,,1.0,,,,,,
7153,,,2.5,,,5.0,,4.0,,,,,,,1.5,,4.5,,,4.0,
7361,,,3.0,,,4.0,,4.0,,,,,4.0,,5.0,,4.5,,,,
8622,,,3.5,,3.5,,,,,,,,,,3.5,,3.0,,,,
8636,,,3.0,,4.5,4.0,,,,,,,,,3.0,,,,,,
27369,,,3.5,,,,,,,,,,,,,,,,,,
44191,,,3.5,,,,,,,,,,,,2.5,,,,,,
48783,,,4.5,,,,,,,,,,,,,,,,,,
